groupid,groupid_connected
34230886,41883468
34230886,41883468
34230886,45441631
34230886,34230886
34230886,34230886
34230886,34230886
34230886,58798248
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,58798248
34230886,58798248
34230886,58798248
34230886,31976785
34230886,31976785
34230886,31976785
34230886,31976785
34230886,31976785
34230886,31976785
34230886,31976785
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
