groupid,groupid_connected
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
34230886,34230886
48295646,48295646
48295646,48295646
48295646,48295646
